Date,Start,Visitor,PTS,Home,PTS,OverTime,Winner,Date
18/12/29,10:30p,25,122,28,111,,25,75
18/12/30,3:30p,23,107,22,109,,22,76
18/12/30,6:00p,9,113,5,104,,9,76
18/12/30,6:00p,13,89,21,95,,21,76
18/12/30,7:00p,1,103,12,105,,12,76
18/12/30,9:00p,0,95,29,129,,29,76
18/12/30,9:30p,17,114,14,121,,14,76
18/12/31,3:00p,6,108,19,116,,19,77
18/12/31,6:00p,22,100,15,125,,15,77
18/12/31,7:00p,4,101,26,113,,26,77
18/12/31,7:00p,18,111,25,120,,25,77
18/12/31,8:00p,9,114,8,123,,8,77
18/12/31,8:00p,12,102,1,122,,1,77
18/12/31,9:00p,20,132,24,109,,20,77
19/1/1,7:30p,10,116,21,122,,21,78
19/1/1,8:00p,23,98,2,121,,2,78
19/1/1,9:00p,16,108,11,115,,11,78
19/1/1,9:00p,29,113,17,108,OT,29,78
19/1/1,10:30p,0,119,28,113,,0,78
19/1/2,7:00p,12,122,15,84,,12,79
19/1/2,7:00p,5,117,7,92,,5,79
19/1/2,7:00p,6,98,27,114,,27,79
19/1/2,7:30p,8,121,3,126,,3,79
19/1/2,8:00p,9,102,18,115,,18,79
19/1/2,8:00p,22,112,13,84,,22,79
19/1/2,8:00p,23,101,4,94,,23,79
19/1/2,9:00p,0,132,24,127,,0,79
19/1/2,10:30p,1,107,14,100,,1,79
19/1/3,8:00p,21,107,25,125,,25,80
19/1/3,10:00p,11,117,17,113,,11,80
19/1/3,10:30p,26,135,20,134,OT,26,80
19/1/4,7:30p,10,117,7,91,,10,81
19/1/4,8:00p,12,93,18,114,,18,81
19/1/4,8:00p,19,119,13,116,OT,19,81
19/1/4,8:00p,3,109,4,100,,3,81
19/1/4,8:00p,27,109,5,115,,5,81
19/1/4,8:00p,22,103,9,120,,9,81
19/1/4,8:30p,6,112,2,144,,2,81
